,ENSG00000074410.14,ENSG00000054598.9,ENSG00000183888.4,ENSG00000100219.16,ENSG00000173467.9,ENSG00000150667.8,ENSG00000129514.8,ENSG00000134830.6,ENSG00000163064.7,ENSG00000225362.10,ENSG00000171428.15,ENSG00000120262.10,ENSG00000091831.24,ENSG00000154548.9,ENSG00000139865.16,ENSG00000115648.14,ENSG00000107485.18,ENSG00000109436.8,ENSG00000248360.7,ENSG00000163879.11,ENSG00000178568.15,ENSG00000167614.14,ENSG00000176532.4,ENSG00000106541.12,ENSG00000175356.14,ENSG00000082175.15,ENSG00000187720.14,ENSG00000160182.3,ENSG00000169083.18,ENSG00000235584.3,ENSG00000204385.13,ENSG00000213064.10,ENSG00000114547.10,ENSG00000287914.1,ENSG00000005513.10,ENSG00000259459.6,ENSG00000178935.5,ENSG00000204434.6,ENSG00000160180.15,ENSG00000168350.8,ENSG00000135912.11,ENSG00000204248.11,ENSG00000166535.20,ENSG00000206113.11,ENSG00000092068.20,ENSG00000253768.1,ENSG00000143412.10,ENSG00000254615.3,ENSG00000223813.3,ENSG00000073792.16,ENSG00000154645.14,ENSG00000183044.12,ENSG00000256612.7,ENSG00000259793.1,ENSG00000186868.16,ENSG00000198729.5,ENSG00000148468.17,ENSG00000227036.8,ENSG00000148513.18,ENSG00000064787.13,ENSG00000234918.1,ENSG00000249346.7,ENSG00000224559.2,ENSG00000236313.1,ENSG00000186832.9,ENSG00000255774.2,ENSG00000187486.5,ENSG00000172425.12,ENSG00000259725.1,ENSG00000254290.1,ENSG00000183323.13,ENSG00000253125.1,ENSG00000163683.12,ENSG00000232400.1,ENSG00000186910.4,ENSG00000286208.1
TCGA-A7-A0DC,9.579824789017568,1.277476057532217,3.940492137438769,11.86842319460112,5.692794528735919,7.405934324243417,7.470878246616978,5.635898435653782,0.089506993,3.764822038589488,4.366951649380344,6.012176979036595,11.59637771572157,0.8860322135267401,7.181009925300263,8.268618347019714,7.789927745143713,9.569410029757249,4.010917720833855,5.308445912064793,8.253190313627425,1.615515322947819,5.294984527722404,9.609532426891446,10.24043258342472,3.001570619050162,9.443339004572701,0.2141450822159673,8.469609327115142,4.025166766191291,4.314546120253513,6.279764974970226,0.5499621456611893,4.609423158363721,0.4005735675170598,3.826329174,8.254627186,7.059587707802676,0.5656448534309557,5.890202033546215,3.716468297744602,0.2726457671267507,0.8860322135267401,0.7824701019691965,7.106242949227594,5.124139989262413,4.599934790830913,0.089506993,2.308128631422796,0.2339100612473047,0.2339100612473047,6.316146041940907,6.338854829753636,0.9709256566044575,7.031452843208687,0.3471301060149071,2.113813536231568,0.9709256566044575,8.349759522002438,6.562448934766929,5.419412769415983,2.621178610321812,5.583903689522736,4.778770771349076,1.623029625830631,1.674561601,4.261369244284405,2.014465908836271,0.5656448534309557,4.790496702515032,6.689332895712366,0.1110422018506622,9.558001044803577,2.676391412433255,2.270346436,8.118049260761602
TCGA-Z7-A8R6,9.227001103752727,1.685909471277802,0.7196223200329123,11.62436226051395,7.623557719742143,6.186753754571116,8.824618308403492,5.020993264535035,0.8136252090339412,1.591759362506119,6.908692723840753,4.630141882,8.501235924569556,0.266953883,4.260361472376092,8.731916975521077,10.09708929540072,8.386666532980799,3.429639739,6.498536962673134,5.485242414,0.6190648431830494,5.254705000858111,9.330585053556932,9.344758677211596,6.977156567550973,5.905608984351598,8.013500502802668,7.389063441037616,0.5109697354819404,7.621799261844739,6.069388016,0.1989074435985153,1.101430216626403,0.5660294419226115,5.640805025254234,6.188582443,4.698473201551089,6.848662526562574,7.053999097319273,4.542485025456512,1.546844609300661,0.6533687003179546,1.403046851359113,7.479226388735325,1.835327846726882,6.463017103735234,0.3941147429087949,1.076364665183907,0.8875373119039555,0.1274919516618392,5.455174112774744,2.777727970035124,0.4142597538797043,8.884621418369868,0.8287136688354229,2.812297460330773,1.362150429715163,4.668386065661329,1.573960904,3.584332980432734,2.202676717261343,4.429495412,1.243313324901636,1.635317921152844,5.713733474874571,4.503055696987286,2.490480057852718,1.950163218566471,0.6016021112664505,5.621981969615056,3.504367938200521,8.162734870268501,0.9301326831090905,2.886275902273492,4.293366563513004
TCGA-C8-A1HE,10.14599773395268,2.037374989478605,4.111405658587694,12.44093639630949,8.714928485819703,3.864529040790693,9.509097875,5.575754818608784,1.965355075,3.922734070316822,9.483704613553304,6.836998191840036,11.81860790541844,0.2140167275512457,5.141651886,9.534181559022377,10.67411516511812,9.788294265411203,5.776387213787051,5.728239903253996,5.073630778226265,0.2140167275512457,5.468251619086138,10.69388801871593,11.21524293386767,4.081056639739578,8.732617631512175,10.71948378014735,8.631631869,4.695982231339438,8.193516148574084,6.270502661249605,0.1461452174562296,4.610420709070053,0.4003479692691166,5.176624231546522,7.021590095920835,0.056553392,10.12516417889268,6.874839188649953,3.918925946748355,0.2945984747074994,0.4574688212344746,2.707155489908342,8.118229337374446,2.421595506993789,6.421234078805362,0.2945984747074994,1.707275468891627,0.4148416023013533,0.2788381787797242,7.648931408727404,10.22700931528391,3.147696506219235,8.205289023205232,0.8261220127058139,3.229912696681354,1.999412229249594,7.359819407868144,5.954975645276992,4.795565337495602,2.889444380857222,0,2.647039603162687,0.9606247840533226,2.93791796,4.748422080999223,2.403540854851579,1.736417015583382,1.659388878274758,6.694846517555768,3.875049717822635,8.722776668,2.317449224593635,6.166478028083533,0
TCGA-AC-A2FM,8.129745694606441,2.097466327,4.544662242562323,10.31985416,7.978452318228108,5.785891187769312,9.355180394431313,3.469769008741816,0.4073419706331511,6.220966334334389,8.203448904778355,6.115231861851997,10.60583536555282,0.2906802483387982,6.219969709,9.408607633102363,9.591798655410608,11.29804918,4.613066940976279,5.393607342616314,4.436704802715422,1.298362203083889,6.961283598893219,12.45561052942541,7.801440961,4.674499568597072,9.468053433829084,10.46142326764736,8.126203650477311,4.092076029596955,5.543473348587388,6.099422289364484,0.3694933160976629,3.660109453679933,0.8941592993362636,2.436382138972474,9.852529261565198,5.341407022721377,11.01482678827965,6.883062831294424,3.828239414057736,1.093056462127465,0.2495980570746488,2.937752289754703,8.010890734995055,4.645100578612664,4.348257848028898,0.3107908161867113,1.96414713,0.4073419706331511,0.1188283498540815,6.234847282150231,2.240621227257043,1.247102653115981,8.471066730312328,0.3694933160976629,3.093875034049041,1.395721159098806,4.321250397429207,6.559257243671692,2.559149476966977,0.9205735132225314,5.171729399101062,1.645768903626956,2.575864968036856,5.130601141384235,5.247370216081426,2.503446550517427,2.208823760413779,2.947418854987355,5.787686009348328,1.944973913670941,8.332314751290173,1.172134649285442,7.207413335604842,5.231633281
TCGA-B6-A1KF,4.793091479069299,5.559026786021743,0.030935496,7.596441072366778,0.030935496,0.4295253721597946,2.027778651390549,2.403685345370402,5.379880951651393,0.061221548,2.834682031,0.6246718155268488,4.799842850810963,2.869328744,0,4.331884089,7.532686247330012,6.473944336141892,0.497549657,0.5411802065133718,0.2306890124168913,6.809517425725405,0.6842651104263109,0.1763820244572877,1.981019168073666,0.6646729235363653,1.174480117263113,0.090884865,3.771658553092551,0,0.5411802065133718,9.280202081335942,7.146579281073088,0.2037910363002329,4.616969293249276,1.749538466966353,3.881818344254231,0.1763820244572877,0.3581342825010046,2.701615154718941,6.184722036053633,0.9821068939040322,2.450202159712365,0.061221548,4.596434872043181,0,3.489326824915829,0.7226689069563655,0,2.280375410008144,4.698713598884543,2.102493215094571,0.11995054,0.030935496,5.160506400755307,6.947144178270345,7.842569665,2.790169747348943,0.061221548,1.404496915052333,0,0.030935496,0,0,5.673118776873757,0,0.6448110022073691,0.1484421818173063,0.030935496,0,3.137959969226889,0.562510445,6.268231323119467,0.030935496,0,0
TCGA-EW-A1PB,2.565037908433557,5.106694258709976,0,7.20317435,1.260624192,0.1723704179274924,1.161796227404353,1.614598479808808,6.87361731,0.045061462,3.293411577,0.964815557,2.357418909688568,0.4654266214076205,0.022706656,4.460691802979968,6.315343378062939,5.251303181713827,0.1925377143690464,0.448755113,0,0.2320457656294761,3.913701637216495,5.620861368770803,0.7088870207988124,0.1101197636749111,3.267502842768032,0.045061462,0.8296991910901069,0,1.848647920323733,7.242849466,0.380073059,0,0.151917203,0,2.082759638553974,0.1925377143690464,0.1101197636749111,5.185534221270295,7.339561492656656,0.4148227641416865,3.169161353479059,0.045061462,4.900706981208129,0.022706656,2.312052756586486,0.2705006693554599,0.498202578,5.786333470012381,6.924808336223278,3.030394691401781,0.2705006693554599,0.022706656,2.250860094854401,5.595525894443823,5.041477752,2.851702666511634,0,0.045061462,0,0,0,0,10.52560963832395,0,1.514014794978678,0,0,0.546011274,3.958554128445861,0.045061462,6.263557410994763,0,0,0
TCGA-D8-A1JL,4.223663730372198,6.324801764908294,0.017743037,8.070301374,1.396943408127357,0.5920177221611662,2.575836058460229,1.362642790167746,3.989728682339328,0.1841142232912835,1.728585182790075,1.796969285460146,3.476990011545493,3.893304992888867,0.3332679484141616,3.757339867041233,7.537801890175658,5.982847660621665,0.245638169,1.019403970212259,4.115558124128103,3.548919888331863,0.2901182893441964,2.342327708168923,2.91336283,1.701395678,3.871515469960307,0.1033255370672453,2.674211165,0.086610373,0.5191459097662687,7.213032348114154,2.763677936239788,0.035270508,3.797695364302842,0.1997429248503665,2.774154851,0.1361858602089537,0.2152041336620609,1.403706745,7.013733549561965,2.768925904269272,2.761046776039706,0.4423965506707216,4.977987467239456,0.017743037,3.737400181743825,3.502417887027078,0.086610373,3.270492640944465,2.966861414500951,3.775704835039721,0.6386311739729921,0.017743037,4.600746136982317,3.889696182902371,6.987946336483305,4.272515630077776,0.05258759,0.8415435248715594,0,0.017743037,0.05258759,0,5.140667931681365,0,1.760550309150238,0.2305014017317063,0.2152041336620609,0.4158784816404688,3.846912539590889,0.6837855652333273,6.258258148713438,0,0.260617769,0.017743037
TCGA-AN-A0XN,8.098017761426041,3.301561748631466,1.225604657611925,9.913304352,3.538946452269249,4.746089076683789,7.115151172464785,4.593205751704212,2.598528512032733,0.9038941405967811,2.848798333518706,4.434990252701633,7.348021419312471,0.9201837303198251,3.036079504896288,7.109169075454086,7.951177169014322,7.896010199,3.208466106469018,4.567581455236205,6.779620419935257,0.7114044553327011,4.662623191059248,6.273519640772484,5.965497946541626,10.14395128445042,5.370460675727362,1.185736333378835,6.832754616189193,0.998981937,6.797366425781908,6.239846495729326,0.4448703920478908,1.277104418380712,0.3030060663598587,1.059061361056219,4.724222081,0.089145209,4.800999324826418,5.216568252,4.974820492619761,0.6345105855800613,0.4221740504680363,0.489219198,6.276290579006026,0.030331244,4.400572720200373,0.6734697534056479,1.130804621900951,3.270133787801302,0.7483671922316708,3.707972667,6.256380401021698,0.089145209,4.233016192995287,1.563004416,3.781144265599389,2.051195812787422,4.703195705593201,3.224951727043891,2.198705253497135,0.4448703920478908,0.1176768417083407,1.351063006445838,3.523036155422737,0.5532864887947978,3.36243546,0.089145209,0.6541216742979286,2.608614987776222,3.391935448530856,1.818990724353895,6.857284187880134,0.060037912,2.171746571511772,0.1176768417083407
TCGA-B6-A0RL,9.719355125328237,1.873901190762333,4.812315404112876,11.13956791256086,8.012220135092733,3.860321402950817,9.400301619153103,6.335850054895043,0.091947552,4.071279511992983,3.435874219276601,7.485756365861692,11.01159392798713,0.069504192,5.273332128950631,9.192811646154395,11.15082324090475,7.268822204540421,3.958245572580654,7.018712834136766,5.188658306859674,0.852916005,7.627529756219892,10.44810067399536,9.285373958388975,4.096473149581195,8.499345870337011,6.937195536895935,7.388392486612244,4.675046953585901,6.069390272455037,6.430248424423014,0.7578629076589517,4.643106478703855,0.1572558679935366,1.973962216768428,5.942373597347013,0.2197353821922193,8.980018378379969,7.529320478611309,5.257286816186578,1.094362970509909,0.2990429364770095,1.997929504430731,8.970586740962924,5.778648644957988,7.027472191131715,0.1140471121337435,1.794020519077119,0.1783844514840985,0.5137453311465424,6.656732702755519,5.901265972115382,0.069504192,4.890416489551087,0.2399747218298351,1.105436582,0.594559931,7.003624790862096,5.182789132844476,5.076365593,3.343025482448979,0.046706166,4.158926483743291,0.4456673182934965,5.776485218,5.342821570607319,0.8129432828411276,2.452844005381697,3.491801060416283,5.334610364185203,2.363424343,8.448276490662483,1.014372308440664,4.399467844148569,0.046706166
TCGA-D8-A1JK,5.957279132179618,4.478496739210451,0,9.061360331432782,0.2823438598442708,3.556456641767044,7.568352196386208,1.680290593317531,0.8127790642859185,0.7768267015184347,1.954214649003794,1.728142363,2.707950865595856,0.7949148728677368,2.388717104474856,7.264193742719794,4.290492758848183,6.815166989165239,1.504588612072272,1.329516196733669,0.3077619430452442,1.569072496657954,4.358963836594097,7.146961607549658,3.817607755470505,3.600829870126337,4.790525437095903,0.030854313,6.982342659816629,0.090651216,2.674146726080246,6.341463811766184,0.030854313,0,0.4285396937126333,0.1196452141287284,4.322019370533245,0.5612743745081812,1.341872336749623,3.680825128506219,5.153280794,0.1480679784211629,1.172347258073858,0.090651216,5.725845345112157,0,2.424012706193603,0.3077619430452442,1.226661746824864,2.114035267789892,0.2032868469607299,5.620753926454618,5.391081936031282,0.175941583,1.774457791809215,5.119589250748725,3.080288337033349,4.021472865033798,2.163602674906163,0.3572928335312407,0.8304247549364252,0.1480679784211629,0.4285396937126333,0.1196452141287284,2.614287708492933,0.6029374903061623,2.135487305931278,0.3814348490562895,0.2564699050737937,0.4285396937126333,4.179558348776928,0.2032868469607299,7.798557311852877,0,0.030854313,0.3327399408863449
